work_year,salary,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,job_area
2023,96313,mid,full_time,Data Scientist,Canada,remote,Canada,small,Data
2023,250000,senior,full_time,Machine Learning Engineer,United States,on_site,United States,medium,Machine Learning
2023,140000,senior,full_time,Machine Learning Engineer,United States,on_site,United States,medium,Machine Learning
2023,48585,mid,full_time,Data Analyst,Portugal,remote,Portugal,medium,Data
2023,43187,mid,full_time,Data Analyst,Portugal,remote,Portugal,medium,Data
2023,204000,senior,full_time,Data Science Manager,United States,remote,United States,medium,Data
2023,127500,senior,full_time,Data Science Manager,United States,remote,United States,medium,Data
2023,145500,senior,full_time,Data Analyst,United States,on_site,United States,medium,Data
2023,108000,senior,full_time,Data Analyst,United States,on_site,United States,medium,Data
2023,206000,senior,full_time,Data Engineer,United States,remote,United States,medium,Data
2023,175100,senior,full_time,Data Engineer,United States,remote,United States,medium,Data
2023,122500,senior,full_time,Data Analyst,United States,remote,United States,medium,Data
2023,82500,senior,full_time,Data Analyst,United States,remote,United States,medium,Data
2023,110400,senior,full_time,Data Manager,United States,on_site,United States,medium,Data
2023,68000,senior,full_time,Data Manager,United States,on_site,United States,medium,Data
2023,190000,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,160000,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,95000,senior,full_time,Data Analyst,United States,on_site,United States,medium,Data
2023,75000,senior,full_time,Data Analyst,United States,on_site,United States,medium,Data
2023,136000,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,104000,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,130000,mid,full_time,Data Analyst,United States,on_site,United States,medium,Data
2023,105000,mid,full_time,Data Analyst,United States,on_site,United States,medium,Data
2023,154000,mid,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,103000,mid,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,217000,mid,full_time,Director of Data Science,United States,on_site,United States,medium,Data
2023,192000,mid,full_time,Director of Data Science,United States,on_site,United States,medium,Data
2023,170000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,100000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,90000,senior,full_time,Data Specialist,United States,on_site,United States,medium,Data
2023,60000,senior,full_time,Data Specialist,United States,on_site,United States,medium,Data
2023,350000,senior,full_time,AI Engineer,United States,on_site,United States,medium,AI
2023,168000,senior,full_time,AI Engineer,United States,on_site,United States,medium,AI
2023,234900,senior,full_time,Data Science Manager,United States,on_site,United States,medium,Data
2023,113500,senior,full_time,Data Science Manager,United States,on_site,United States,medium,Data
2023,385000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,245000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,255000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,255000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,170200,senior,full_time,Data Visualization Engineer,United States,on_site,United States,medium,Data
2023,83900,senior,full_time,Data Visualization Engineer,United States,on_site,United States,medium,Data
2023,170200,senior,full_time,Data Science Practitioner,United States,on_site,United States,medium,Data
2023,83900,senior,full_time,Data Science Practitioner,United States,on_site,United States,medium,Data
2023,202500,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,177500,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,308000,senior,full_time,Data Scientist,United States,on_site,United States,medium,Data
2023,144000,senior,full_time,Data Scientist,United States,on_site,United States,medium,Data
2023,130000,senior,full_time,Data Engineer,United States,remote,United States,medium,Data
2023,101570,senior,full_time,Data Engineer,United States,remote,United States,medium,Data
2023,300000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,150000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,222200,senior,full_time,Applied Scientist,United States,on_site,United States,large,Others
2023,136000,senior,full_time,Applied Scientist,United States,on_site,United States,large,Others
2023,145000,senior,full_time,Data Manager,United States,on_site,United States,medium,Data
2023,130000,senior,full_time,Data Manager,United States,on_site,United States,medium,Data
2023,155000,senior,full_time,Data Modeler,United States,remote,United States,large,Data
2023,130000,senior,full_time,Data Modeler,United States,remote,United States,large,Data
2023,240000,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,180000,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,170200,senior,full_time,AI Engineer,United States,on_site,United States,medium,AI
2023,83900,senior,full_time,AI Engineer,United States,on_site,United States,medium,AI
2023,210000,senior,full_time,Data Scientist,United States,on_site,United States,medium,Data
2023,165000,senior,full_time,Data Scientist,United States,on_site,United States,medium,Data
2023,300000,senior,full_time,Research Scientist,United States,on_site,United States,medium,Research
2023,150000,senior,full_time,Research Scientist,United States,on_site,United States,medium,Research
2023,300000,senior,full_time,Machine Learning Engineer,United States,on_site,United States,medium,Machine Learning
2023,150000,senior,full_time,Machine Learning Engineer,United States,on_site,United States,medium,Machine Learning
2023,212800,senior,full_time,Data Scientist,United States,on_site,United States,large,Data
2023,111600,senior,full_time,Data Scientist,United States,on_site,United States,large,Data
2023,213600,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,103200,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,230000,senior,full_time,Data Scientist,Canada,remote,Canada,medium,Data
2023,153000,senior,full_time,Data Scientist,Canada,remote,Canada,medium,Data
2023,308000,senior,full_time,Research Engineer,United States,on_site,United States,medium,Research
2023,190400,senior,full_time,Research Engineer,United States,on_site,United States,medium,Research
2023,204000,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,127500,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,250000,mid,full_time,Data Scientist,United States,on_site,United States,medium,Data
2023,125000,mid,full_time,Data Scientist,United States,on_site,United States,medium,Data
2023,385000,senior,full_time,Research Engineer,United States,on_site,United States,medium,Research
2023,310000,senior,full_time,Research Engineer,United States,on_site,United States,medium,Research
2023,120000,senior,full_time,Data Analyst,United States,remote,United States,medium,Data
2023,88000,senior,full_time,Data Analyst,United States,remote,United States,medium,Data
2023,158000,senior,full_time,Machine Learning Engineer,United States,remote,United States,medium,Machine Learning
2023,108000,senior,full_time,Machine Learning Engineer,United States,remote,United States,medium,Machine Learning
2023,385000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,310000,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,247300,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,139700,senior,full_time,Data Engineer,United States,on_site,United States,medium,Data
2023,240000,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,180000,senior,full_time,Data Scientist,United States,remote,United States,medium,Data
2023,130000,senior,full_time,Data Engineer,United States,remote,United States,medium,Data
2023,101570,senior,full_time,Data Engineer,United States,remote,United States,medium,Data
2023,210000,senior,full_time,Data Scientist,United States,on_site,United States,medium,Data
2023,165000,senior,full_time,Data Scientist,United States,on_site,United States,medium,Data
